"","coder","date","newsnm","rptmm","rptdd","rptyy","evmm","evdd","evyy","days","eventid","stories","title","followup","who","what","where","against","purpose","whysm","page","section","paragrph","staten","state1","state2","state3","state4","cityn","city1","city2","neighn","neighbr","particd","particex","partices","groups","igrp1c1","igrp1c2","igrp2c1","igrp2c2","igrp3c1","igrp3c2","targd","targnum","targ1","targ2","ertarg1","ertarg2","smonamed","smonum","smoname1","smoname2","smoname3","smoname4","claim1","val1","claim2","val2","claim3","val3","claim4","val4","form1","form2","form3","form4","act1","act2","act3","act4","viold","violtype","counterd","police1","police2","police3","police4","arrestd","arrestex","arrestes","propdam","dollars","injury","deaths","d_eventid","flag_followup","injprot","injprot_est","injby","injby_est","injpol","injpol_est","injoth","injoth_est","dthprot","dthprot_est","dthby","dthby_est","dthpol","dthpol_est","dthoth","dthoth_est","agenda_code"
"23101","WENKAI TAY",NA,"NYT",12,24,1994,12,24,1994,1,9412117,1,"IN THE CHERISH LIFE CIRCLE, REVENGE IS NO SWEET THING",0,"SISTER CAMILLE D'ARIENZO AND FRIENDS","FORMED GROUP CALLED THE CHERISH LIFE CIRCLE","NYC","GOVERNMENT","OPPOSE DEATH PENALTY","COLLECTIVE, CLAIMS MADE, PUBLIC",8,"",20,1,"NY","","","",1,"NEW YORK","",NA,"",0,NA,2,1,1800,1100,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",1345,2,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,50,66,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1210
"12973","BELINDA SICHULA",2001-10-03,"NYT",7,25,1977,1,1,1977,1,7707066,1,"THE PEOPLE BEHIND THE CAMPAIGN TO SHOOT DOWN THE B-1 BOMBER PROJECT",0,"PEOPLE IN 165 COMMUNITIES & AROUND THE NATION THAT OPPOSE B-1 BOMBER","VIGILS","165 COMMUNITIES AROUND THE U.S.","GOVT.","REMIND PRES. CARTER OF PROMISE TO OPPOSE B-1 BOMBERS","COLLECTIVE, CLAIMS MADE, PUBLIC",12,"1",24,46,"DC","","","",NA,"WASHINGTON","",NA,"",0,NA,5,1,1000,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,"CAMPAIGN TO STOP THE B-1 BOMBER","","","",722,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,99,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1209
"8351","KAREN CALDWELL",NA,"NYT",4,16,1970,4,15,1970,NA,7004042,1,"Radicals Disrupt Antiwar Rallies",0,"100,000 protesters","held a rally, which ended with violence çincluding setting fire and smashing windows","at the Boston çCommon, in Boston, MA and Cambridge","'MA to protest the vietnam çwar. '","","Collective unconventional activity with specific claims.",1,"1",19,1,"MA","","","",2,"BOSTON","CAMBRIDGE",NA,"",1,100000,NA,3,1800,NA,800,NA,1800,NA,1,2,1,3,NA,NA,1,1,"VIETNAM MORATORIUM COMMITTEE","","","",711,1,NA,NA,NA,NA,NA,NA,1,12,NA,NA,62,NA,NA,NA,1,7,0,1,1,0,0,NA,NA,NA,1,NA,1,0,"",NA,200,0,5,1,5,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,1619
"8017","MARCELLA",NA,"NYT",11,13,1969,11,12,1969,1,6911037,1,"Students Disrupt Education",0,"high school students","disrupted a meeting of the board of education which wasabruptly adjourned.  They board held the session at the fashion institute of technology","New York City"," they were speaking against a proposed board statement on the rights and responsibilities of high school students.","","this is a collective action because it involved more than one person, was initiated by the non-elite and they expressed a grievance.",42,"1",11,1,"NY","","","",1,"NEW YORK","",1,"FASHION INSTITUTE OF TECHNOLOGY",0,NA,3,1,800,430,NA,NA,NA,NA,1,1,3,NA,NA,NA,1,1,"AFRICAN-AMERICAN STUDENTS ASSOCIATION","","","",1342,3,NA,NA,NA,NA,NA,NA,98,NA,NA,NA,59,33,56,58,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600
"15973","KRISTY",2001-09-03,"NYT",6,16,1981,6,NA,1981,1,8106035,1,"SUIT CHALLENGES A MOVE BY NAVY INTO FORT ON S.I",0,"NATURAL RESOURCES COUNCIL AND OTHERS","LAWSUIT","BROOKLYN, NY","NAVY AND ARMY","TO STOP NAVY FROM MOVING INTO FORT WADSWORTH AND CHARGE FAILURE TO COMPLY WITH ENVIRONMENTAL IMPA","COLLECTIVE, CLAIMS MADE, PUBLIC",2,"B",11,1,"NY","","","",1,"BROOKLYN","",NA,"",0,NA,3,1,1800,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,2,"NATIONAL RESOURCES DEFENSE COUNCIL","PARK COUNCIL, INC","","",1100,1,1338,2,NA,NA,NA,NA,18,15,NA,NA,97,34,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700
"1985","LEAH MILLER",2000-09-21,"NYT",4,21,1963,4,20,1963,1,6304048,1,"MARCHES IN CALIFORNIA",0,"PICKETS","2 FRESNO STORES WERE PICKETED","FRESNO, CA","BUSINESSES","ANTI-SEGREGATION","COLLECTIVE, CLAIMS MADE, PUBLIC",70,"1",1,1,"CA","","","",1,"FRESNO","",NA,"",0,NA,3,1,401,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,0,NA,"","","","",1500,1,1501,1,NA,NA,NA,NA,4,NA,NA,NA,20,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"5277","MIKE SANDULAK",NA,"NYT",8,20,1966,8,19,1966,1,6608074,1,"PICKET ACCUSATION OF INSURRECTION OVER WAR PROTEST IN ATLANTA",0,"NEGROES","PICKETED","ATLANTA, GA","US GOVT","ANTI-VIETNAM WAR","COLLECTIVE, CLAIMS MADE, PUBLIC",2,"1",14,1,"GA","","","",1,"ATLANTA","",1,"12TH ARMY CORPS HEADQUARTERS",1,10,NA,1,401,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",711,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,20,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1619
"14758","MELISSA WERNER",2001-09-13,"NYT",11,24,1979,NA,NA,NA,1,7911074,1,"SUIT BIDS BOYS' CLUB ADMIT GIRLS",0,"AMERICAN CIVIL LIBERTIES UNION","FILED SUIT","BOSTON, MA","ARLINGTON BOYS' CLUB","WANT EQUAL ACCESS TO THE CLUB FOR FEMALES","COLLECTIVE, CLAIMS MADE, PUBLIC",28,"",1,1,"MA","","","",1,"BOSTON","",NA,"",0,NA,2,1,1000,NA,NA,NA,NA,NA,1,1,6,NA,NA,NA,1,1,"AMERICAN CIVIL LIBERTIES UNION","","","",600,1,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,97,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202
"14179","STEPH HINTZ",2000-11-30,"NYT",5,1,1979,4,NA,1979,12,7905005,1,"FIRST ESCAPE NOTED DURING PRISON STRIKES",1,"PRISON GUARDS","STRIKE","NEW YORK","PRISON OFFICIALS","","COLLECTIVE, CLAIMS MADE, PUBLIC",2,"1",3,1,"NY","","","",1,"WALLKILL","",NA,"",0,NA,5,1,100,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",1400,3,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,54,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1205
"8384","KAREN CALDWELL",NA,"NYT",4,22,1970,4,21,1970,1,7004075,1,"Earth Day goals Backed By Hickel",0,"Students","collected refuse along the highway and left it in 5 çpiles more than 10 feet high along the roadside of US route 54","in lake ozark missouri","'to celebrate earth day and protest çagainst pollution.'","","collective unconventional activity with çspecific claims.",1,"1",24,1,"MO","","","",1,"LAKE OZARK","",NA,"",0,NA,2,1,800,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,"","","","",1100,1,1109,2,NA,NA,NA,NA,98,NA,NA,NA,33,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700
"7498","SARAH D WARREN",NA,"NYT",4,27,1969,4,25,1969,1,6904088,1,"Women Voters Ask US For Recognition",0,"the League of Women Voters","had a news conference","Washington, D.C.","'urging that the US take the initiative in establishing normal, peaceful relations with Communist China   '","","conventional collective action seeking change",10,"1",9,1,"DC","","","",1,"WASHINGTON","",NA,"",1,157000,NA,1,500,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,"LEAGUE OF WOMEN VOTERS","","","",1000,3,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,98,34,NA,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1925
"21400","WENKAI TAI",2006-05-02,"NYT",7,14,1991,NA,NA,1985,1,9107019,1,"NBC NEWS PROFESSIONALS FIGHT TO DECLINE HONOR",1,"160 NEWS WRITERS AND PRODUCERS FOR NBC","FILED LAWSUIT","NYC","NATIONAL BROADCASTING COMPANY","DISPUTE PROFESSIONAL STATUS, CHALLENGE METHOD OF CALCULATING OVERTIME PAY","COLLECTIVE, CLAIMS MADE, PUBLIC",22,"1",33,1,"NY","","","",1,"NEW YORK","",NA,"",1,160,NA,1,100,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,1,1,"NATIONAL ASSOCIATION OF BROADCAST EMPLOYEES AND TECHNICIANS","","","",1400,3,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,97,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,504
"12718","CARISSA WONG",2001-12-09,"NYT",3,20,1977,5,1,1975,480,7703038,1,"NORTHSIDE THOWS PARTY FOR FIREMEN RETURNING TO PEOPLES FIREHOUSE AFTER A 16-MONTH BATTLE TO KEEP IT",0,"20 BOY SCOUTS","PETITIONED THE NEIGHBORHOOD","BROOKLYN- NORTHSIDE AREA","GOVERNMENT","TO FIGHT TO KEEP FIREHOUSE ENGINE COMPANY 212","COLLECTIVE, CLAIMS MADE, PUBLIC",2,"A",15,1,"NY","","","",1,"BROOKLYN","",NA,"",1,20,NA,1,700,600,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,"BOY SCOUTS","","","",1338,3,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,18,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000
"19775","AMANDA STEVENSO",2002-06-21,"NYT",4,4,1988,3,27,1988,1,8804008,1,"ANIMAL RIGHTS GROUP LIBERATES CHICKENS",1,"THE ANIMAL LIBERATION FOUNDATION","RAIDED 73 RABBITS FROM A RABBIT BREEDING COMPANY, FOR SLAUGHTER OF RAB","HAYWARD","THE RABBIT BREEDING COMPANY OWNERS","PROTEST FOR THE TREATMENT OF ANIMALS","COLLECTIVE, CLAIMS MADE, PUBLIC",14,"1",5,1,"CA","","","",1,"HAYWARD","",NA,"",0,NA,3,1,1800,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,1,1,"ANIMAL LIBERATION FOUNDATION","","","",2600,1,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,45,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,709
"4879","SARA DEMARIO",NA,"NYT",4,21,1966,4,20,1966,1,6604063,2,"CITIZENRY STORMS",0,"75 DEMONSTRATORS","PICKETED","NY, NY","MAYOR LINDSAY","THEY WERE AGAINST HIS TAX PROPOSALS","COLLECTIVE, CLAIMS MADE, PUBLIC",35,"1",45,1,"NY","","","",1,"NEW YORK","",1,"CITY HALL",1,75,NA,1,1500,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,"UNITED TAXPAYERS PARTY","","","",1306,3,1338,3,NA,NA,NA,NA,4,NA,NA,NA,20,33,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107
"8888","KAREN CLADWELL -",NA,"NYT",10,27,1970,10,13,1970,NA,7010044,1,"in cairo ill racial tensions remain high after week",0,"unknown","arson fire","A small factory making sections for a housing project for blacks; Cairo, Illinois","not stated","","suspicious fire",27,"1",36,1,"IL","","","",1,"CAIRO","",NA,"",0,NA,1,1,1800,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,0,NA,"","","","",2517,3,NA,3,NA,3,NA,3,11,NA,NA,NA,62,NA,NA,NA,1,3,0,0,NA,0,0,NA,NA,NA,1,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"20872","LAUREN",2002-11-10,"NYT",5,18,1990,5,17,1990,1,9005077,1,"NEW JERSEY VOTES THE STRICTEST LAW IN THE NATION ON ASSAULT WEAPONS",0,"400 DEMONSTRATORS","PROTESTED","TRENTON, MJ","GOVERNMENT","PROTESTED BILL ON GUN CONTROL","COLLECTIVE, CLAIMS MADE, PUBLIC",1,"A",23,1,"NJ","","","",1,"TRENTON","",NA,"",1,400,NA,1,1800,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,2,"NATIONAL RIFLE ASSOCIATION","COALITION OF NEW JERSEY SPORTSMEN","","",1327,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,20,28,33,48,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1209
"10089","ESTEBAN PROMIS -",NA,"NYT",5,13,1972,5,12,1972,1,7205071,1,"Reagan-Rockefeller Parley is Picketed",1,"3000 people","demonstration","San Francisco, CA","the war in Vietnam and particularly against the mining of North Vietnamese harbors","","antiwar protests of US presence in Vietnam",6,"1",16,1,"CA","","","",1,"SAN FRANCISCO","",NA,"",1,3000,NA,1,1800,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",711,1,NA,NA,NA,NA,NA,NA,1,5,NA,NA,62,45,NA,NA,1,5,0,1,1,0,0,0,60,NA,1,NA,1,0,"D-7205065",1,5,0,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1619
"7090","DEMARIO",NA,"NYT",11,28,1968,11,27,1968,1,6811074,1,"Students Picket on Extra Classes",0,"300 students","marched and protested","ny, manhattan","'against school policy for making students go to school longer because of the teachers strike'","","group, collective",49,"1",20,1,"NY","","","",1,"MANHATTAN","",NA,"",1,300,NA,1,800,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,0,NA,"","","","",1342,3,NA,NA,NA,NA,NA,NA,2,13,NA,NA,98,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600
"6614","REBECCA WIDOM",NA,"NYT",4,23,1968,4,22,1968,2,6804146,1,"150 Trinity Students Stage Sit-In in Bid for Negro Aid",0,"African-American and white students","took over the administration building for 32 hours","at Trinity College in Connecticut","","",".  Collective unconventional activity with claims.",36,"1",6,1,"CT","","","",1,"HARTFORD","",NA,"",1,200,NA,2,800,401,800,430,NA,NA,1,1,3,NA,NA,NA,1,2,"TRINITY ASSOCIATION OF NEGROES","SDS","","",1342,3,1500,1,NA,NA,NA,NA,5,NA,NA,NA,60,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600
"16560","KRISTY",2001-12-04,"NYT",5,3,1982,5,2,1982,1,8205054,1,"MARCHERS IN MANHATTAN SHOW THEIR SUPPORT FOR SOVIET JEWS",0,"JEWISH DEFENSE LEAGUE","DEMONSTRATED AND THREW RED PAINT THROU","NEW YORK CITY, NY","SOVIET UNION","PROTEST SOVIET UNION'S TREATMENT OF JEWS","COLLECTIVE, CLAIMS MADE, PUBLIC",7,"B",9,1,"NY","","","",1,"MANHATTAN","",NA,"",1,30,NA,1,432,NA,NA,NA,NA,NA,1,1,4,NA,NA,NA,1,1,"JEWISH DEFENSE LEAGUE","","","",1006,3,NA,NA,NA,NA,NA,NA,1,5,NA,NA,62,45,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1912
"5445","MARVIN RUTH",NA,"NYT",11,4,1966,11,3,1966,1,6611009,1,"NEGRO MINISTERS ASK NONVIOLENCE",0,"100 BLACK CLERGYMEN","RELEASED STATEMENT","CHICAGO, IL","SEPARATIST GROUPS","PROTEST BLACK POWER MOVEMENT AS WELL AS USE OF VIOLENCE AND HATE IN CIVIL RIGHTS MOVEMENT","COLLECTIVE, CLAIMS MADE, PUBLIC",29,"1",10,1,"IL","","","",1,"CHICAGO","",NA,"",1,100,NA,2,401,1100,401,1800,NA,NA,1,1,7,NA,401,NA,0,NA,"","","","",1509,2,1500,1,NA,NA,NA,NA,15,NA,NA,NA,34,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"6467","NATASHA",NA,"NYT",3,24,1968,3,23,1968,NA,6803022,1,"214 Law Teachers Seeking Expiration of Anti Red",0,"214 Law Teachers","Professors of law from schools throughout the nation petitioned Attorney General Clark.","Cambridge, Massachuttes","The professors petitioned Attorney General Clark to refrain from initiating proceedings under the Dirksen amendments to the McCaarran Internal Security Act.  Basically, the teachers were seeking the expiration of the anti-red board.","","",73,"00",7,1,"MA","","","",1,"CAMBRIDGE","",NA,"",1,214,NA,1,100,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",1338,2,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,18,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000
"6397","THEARD",NA,"NYT",2,2,1968,2,1,1968,1,6802002,1,"Humphrey Picketed on Chicago Campus",0,"anti-war students","waited 2 hours for the VP to arrive and then some short time after he came.  Chanting anti-war slogans as VP walked by","in Chicago, at a dinner at the University of Chicago","vs. V.President Humphrey and antiwar","","group of people witha claim",18,"1",4,1,"IL","","","",1,"CHICAGO","",NA,"",1,500,NA,1,800,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",711,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,28,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1619
"3035","YVETTE GASIOREK",2000-07-07,"NYT",4,12,1964,4,11,1964,1,6404075,1,"SCHOOLS YIELDING NAACP CHARGES",0,"NAACP MEMBERS/LEADERS","WALKED OUT OF MEETING IN PROTEST","NYC","STATE BOARD OF EDUCATION","PRO-INTEGRATION","COLLECTIVE, CLAIMS MADE, PUBLIC",61,"1",19,1,"NY","","","",1,"NEW YORK","",NA,"",0,NA,1,1,401,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",1501,1,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,54,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"5775","SARA DEMARIO",NA,"NYT",5,31,1967,5,30,1967,1,6705090,1,"9 HURT, 38 ARRESTED AS HIPPIES CLASH WITH POLICE",0,"GROUP OF HIPPIES","MARCHED","NY, NY","POLICE","AGAINST THE POLICE BRUTALITY THAT JUST OCCURRED","COLLECTIVE, CLAIMS MADE, PUBLIC",1,"1",34,1,"NY","","","",1,"NEW YORK","",0,"",0,NA,2,1,1100,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",1334,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,28,NA,NA,NA,0,NA,0,1,0,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209
"16416","STEPHANIE",2002-06-14,"NYT",2,14,1982,9,NA,1981,1,8202046,1,"NUCLEAR PROTEST LEADS TO LAWSUIT",1,"PROTESTERS","DEMONSTRATED","SAN FRANCISCO, CA","DIABLO CANYON NUCLEAR REACTOR","ANTI-NUCLEAR","COLLECTIVE, CLAIMS MADE, PUBLIC",34,"1",17,1,"CA","","","",1,"SAN FRANCISCO","",NA,"",0,NA,4,1,1800,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,0,NA,"","","","",200,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,99,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801
"17767","wendy",2002-07-27,"NYT",10,9,1984,NA,NA,1973,1,8410015,1,"indian leader gets jail sentence",1,"native americans","rioted","custer, sd","govt/court policy","protest possible discrimination","COLLECTIVE, CLAIMS MADE, PUBLIC",8,"2",10,1,"SD","","","",1,"CUSTER","",NA,"",0,NA,2,1,435,1800,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,"american indian movement","","","",1700,1,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,99,NA,NA,NA,1,1,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"D-7405001",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"13360","BELINDA SICHULA",2001-12-02,"NYT",2,19,1978,NA,NA,1976,390,7802024,1,"TENANTS STRIKE AT WATERSIDE COMPLEX ON EAST RIVER",0,"RESIDENTS OF CO-OP CITY","13 MONTH RENT STRIKE","CO-OP CITY, NYC","MITCHELL-LAMA DEVELOPMENT","PROTEST INCREASE IN MAINTENANCE CHARGES","COLLECTIVE, CLAIMS MADE, PUBLIC",57,"1",15,1,"NY","","","",1,"NEW YORK","",NA,"",0,NA,3,1,1500,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,0,NA,"","","","",1318,1,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,54,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1401
"19847","J. REAMER",2001-08-28,"NYT",6,26,1988,6,25,1988,1,8806026,1,"moslems attacked near queens mosque",0,"2 white men","attacked a black man","queens","black man","hate crime","ETHNIC / RACIAL VIOLENCE",24,"l",19,1,"NY","","","",1,"NEW YORK","",1,"queens",1,2,NA,1,430,600,NA,NA,NA,NA,1,1,7,NA,401,NA,0,NA,"","","","",2500,1,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,56,56,NA,NA,1,2,0,0,NA,0,0,NA,NA,NA,0,NA,1,0,"",NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"3809","LOPEX",NA,"NYT",3,8,1965,3,7,1965,1,6503113,2,"86 STUDENTS BACK ST. JOHNS FACULTY",0,"200 TEACHERS","WALK-OUT","NYC","ST. JOHNS UNIVERSITY","FOR BEING EXCLUDED IN POLICY MAKING AND TO PROTEST LOW SALARIES","COLLECTIVE, CLAIMS MADE, PUBLIC",31,"1",12,1,"NY","","","",1,"NEW YORK","",1,"ST. JOHNS UNIV.",1,200,NA,1,100,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,0,NA,"","","","",1342,3,1400,3,NA,NA,NA,NA,5,NA,NA,NA,65,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600
"10252","KAREN M",NA,"NYT",8,21,1972,8,20,1972,1,7208014,1,"400 protestors dispersed at gop party in hotel",0,"students for a democratic society","demonstration, blocking guests from entering","in front of the Fountainbleu Hotel in Miami Beach, the site of the republican national convention","against republicans","","protest event against republican party by SMO",20,"1",10,1,"FL","","","",1,"MIAMI BEACH","",NA,"",1,400,NA,1,1000,800,NA,NA,NA,NA,1,1,2,NA,NA,NA,1,1,"STUDENTS FOR A DEMOCRATIC SOCIETY","","","",1338,2,NA,NA,NA,NA,NA,NA,1,5,NA,NA,28,57,NA,NA,0,NA,0,1,1,1,1,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000
"21635","DONTAE RAYFOCH",2007-02-02,"NYT",11,12,1991,10,26,1991,1,9111021,1,"VETO OF CALIFORNIA JOB-BIAS BILL UNITES GAY RIGHTS FORCES AGAINST GOVERNOR",1,"GAY RIGHTS SUPPORTERS","PROTESTED GOVERNOR WILSON","UCLA","PETE WILSON","HIS VETO OF A GAY RIGHTS BILL","COLLECTIVE, CLAIMS MADE, PUBLIC",16,"A",21,1,"CA","","","",1,"LOS ANGELES","",1,"UCLA",0,NA,3,1,1500,600,NA,NA,NA,NA,1,1,6,NA,NA,NA,1,1,"THE RED AND BLACK","","","",1338,2,1606,1,1600,1,NA,NA,1,NA,NA,NA,20,59,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000
"7272","KIM ODONOGUE",NA,"NYT",2,25,1969,2,24,1969,1,6902095,1,"COAST TEACHERS END STRIKE",0,"Teachers, with AFT","Strike, announce that it has ended","San Francisco State College","College Admin","","Public Collective",29,"1",10,1,"NY","","","",1,"LONG ISLAND","",NA,"",1,150,NA,1,800,1000,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,"STUDENTS FOR A DEMOCRATIC SOCIETY","","","",1342,3,NA,NA,NA,NA,NA,NA,5,1,2,NA,9,22,60,59,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600
